# N FFTW MKL GSL FFTPACK
256       8.76e-06   4.022e-06   6.942e-06   4.006e-06
1024     2.0944e-05  1.537e-05   1.5601e-05  1.5427e-05
4096     9.8841e-05  8.3507e-05  7.5651e-05  7.5831e-05
16384    0.000494352 0.000373919 0.000345821 0.000346217
65536    0.00271351  0.00214339  0.00211903  0.00212726
262144   0.0139677   0.01265     0.0124289   0.0128673
1048576  0.0592621   0.0530455   0.0531277   0.0532496
4149304  0.378178    0.358331    0.358189    0.358098
16777216 1.91881     1.84134     1.84217     1.84136
67108864 9.03939     8.47093     8.51192     8.47082 
