# N FFTW MKL GSL FFTPACK
256      9.279e-06   1.6046e-05  2.427e-05   9.774e-06
1024     1.8615e-05  2.6797e-05  3.4701e-05  1.9542e-05 
4096     6.6234e-05  6.8953e-05  8.2002e-05  6.0647e-05
16384    0.000272265 0.000229826 0.000381685 0.000239082
65536    0.00153712  0.000642727 0.00182411  0.00113761
262144   0.00685983  0.00275116  0.00872823  0.00517877
1048576  0.0288159   0.0122426   0.0555679   0.0214442 
4149304  0.145162    0.0719812   0.504383    0.173466
16777216 0.873406    0.327743    3.4149      0.738052 
67108864 4.38643     1.38064     16.7014     3.27907
