# N FFTW MKL GSL FFTPACK

210      7.449e-06   2.2707e-05  2.7996e-05  4.3334e-05
1260     2.2734e-05  4.4594e-05  5.6098e-05  6.2168e-05
4410     8.8603e-05  7.3772e-05  0.000207834 0.000143691
15750    0.000293131 0.000182027 0.000525107 0.000344833 
66150    0.00138798  0.00076996  0.00324177  0.0019467
257250   0.00616423  0.00320778  0.0173423   0.00965437
1080450  0.030723    0.0180935   0.0931064   0.062158 
4321800  0.159725    0.0936583   0.529701    0.443637
15435000 0.783241    0.400712    2.14431     1.40324 
64827000 3.63519     2.71481     11.7901     9.21855
