N 1DFFTPACKC 1DFFTPACKR 1DFFTWC 1DFFTWR 1DGSLC 1DGSLR 1DMKLC 1DMKLR 2DFFTWC 2DFFTWR 2DMKLC 2DMKLR 3DFFTWC 3DFFTWR 3DMKLC 3DMKLR 
256 4.6705e-06 1.03186e-05 8.4034e-06 5.6377e-06 4.4903e-06 2.41733e-05 3.9719e-06 1.44178e-05 4.6898e-06 5.2107e-06 2.8737e-06 1.06023e-05 4.9187e-06 6.8407e-06 3.0774e-06 3.6528e-05 
1024 1.67375e-05 2.18125e-05 2.2405e-05 2.07232e-05 1.56968e-05 3.68473e-05 1.63568e-05 2.38098e-05 2.18811e-05 1.91053e-05 1.18736e-05 3.34442e-05 2.2234e-05 2.24708e-05 1.25524e-05 9.97698e-05 
4096 7.73501e-05 5.88421e-05 9.91186e-05 8.54087e-05 7.55933e-05 8.32108e-05 7.61001e-05 6.33355e-05 8.25538e-05 9.33229e-05 3.89966e-05 0.0001068687 8.84701e-05 9.62508e-05 4.61729e-05 0.0003767824 
16384 0.0003624216 0.0002572188 0.0004969012 0.0003705916 0.0003623649 0.0003823716 0.0003673475 0.0002218886 0.0003836001 0.0005628517 0.0002347934 0.0005755143 0.0003990191 0.0004387491 0.000255948 0.001440083 
65536 0.002156827 0.001110547 0.002618958 0.001771886 0.002151526 0.001749699 0.002154958 0.0006737102 0.002198836 0.002183095 0.001151292 0.002320926 0.002254063 0.001927945 0.001203462 0.005716676 
262144 0.01303377 0.005268581 0.01401636 0.007443928 0.01264871 0.008602378 0.01289387 0.00276494 0.01413069 0.01463676 0.004976692 0.009584315 0.01433551 0.01288757 0.005211371 0.02434515 
1048576 0.04913137 0.02160827 0.05874806 0.03319495 0.04898734 0.05718054 0.04914557 0.01229599 0.05913823 0.05030273 0.02288509 0.0414151 0.05983209 0.05094738 0.02355159 0.102654 
4194304 0.3419395 0.1725774 0.36594 0.1833175 0.3435072 0.5025199 0.3420575 0.07079612 0.3774739 0.2992394 0.1176155 0.2144987 0.389104 0.3029589 0.1192292 0.4475304 
16777216 2.049269 0.7354691 2.123593 1.0057555 2.039333 3.350246 2.04031 0.3279023 2.134431 1.309543 0.5097 0.9006967 2.142631 1.317063 0.5182868 63.71562 
67108864 8.57891714286 3.27203 9.16368285714 5.0543 8.57171142857 16.9946857143 8.56813571429 1.39565571429 9.21642857143 5.98834428571 2.24401571429 3.82417714286 9.19815666667 6.03879714286 2.288815 403.497 
