N 1DFFTPACKC 1DFFTPACKR 1DFFTWC 1DFFTWR 1DGSLC 1DGSLR 1DMKLC 1DMKLR 2DFFTWC 2DFFTWR 2DMKLC 2DMKLR 3DFFTWC 3DFFTWR 3DMKLC 3DMKLR 
210 4.0495e-06 4.97833e-05 1.0338e-05 5.2442e-06 5.6639e-06 2.94279e-05 4.1453e-06 2.45243e-05 4.4378e-06 5.57e-06 2.9235e-06 8.8561e-06 4.65e-06 6.0784e-06 2.8482e-06 3.23634e-05 
1260 2.51941e-05 6.09879e-05 3.08325e-05 2.74611e-05 2.19994e-05 5.69342e-05 2.15451e-05 3.62422e-05 3.00118e-05 3.0233e-05 2.05049e-05 4.35651e-05 2.69446e-05 3.01587e-05 2.08386e-05 0.0001344264 
4410 9.24502e-05 0.0001457906 0.000102397 9.60485e-05 8.81046e-05 0.0002165753 9.38771e-05 8.48863e-05 9.47155e-05 0.0001026178 5.25276e-05 0.0001223309 9.43319e-05 0.0001078739 5.45782e-05 0.0004159745 
15750 0.0003736744 0.0003421131 0.0004081909 0.0003720209 0.0003768804 0.0005238286 0.0003807243 0.0001938537 0.0004000717 0.0004424207 0.0002030023 0.0005398801 0.0004076526 0.0004626535 0.0002251252 0.001435871 
66150 0.001835554 0.001956369 0.001998668 0.001731277 0.001822064 0.003298441 0.001854072 0.0007636925 0.001869284 0.002395457 0.000927608 0.002180511 0.001890526 0.002051206 0.0010070779 0.005913146 
257250 0.01020405 0.009994143 0.01076739 0.007430275 0.010008747 0.01752689 0.01022291 0.002932913 0.01040615 0.01116258 0.004804475 0.01006575 0.01051616 0.00961333 0.005004621 0.02426919 
1080450 0.05152553 0.06166984 0.05640464 0.03607174 0.05147077 0.09260372 0.05182975 0.01821271 0.05657115 0.05237865 0.02874665 0.05630708 0.05728936 0.05324114 0.0293399 0.1197409 
4321800 0.3015878 0.4440349 0.3359635 0.1782823 0.3020549 0.5382634 0.3011651 0.09442561 0.3374524 0.2983336 0.1818184 0.28267 0.3403895 0.2979737 0.1855257 0.535593 
15435000 0.953229 1.4029 1.094341 0.7953475 0.9538933 2.171374 0.9535523 0.4003786 1.095486 1.100713 0.8265682 1.19759 1.107261 1.103625 0.8351106 60.69966 
64827000 4.182371 9.223572 4.771111 3.841944 4.175754 11.80074 4.178523 2.72683 4.773344 5.698084 3.232541 0.5851249 4.833492 5.733795 3.282007 0.6543381 
