# N	FFTW_R	MKL_R	GSL_R	FFTPACK_R	FFTW_C	MKL_C	GSL_C	FFTPACK_C
256	5.64E-06	1.44E-05	2.42E-05	1.03E-05	8.40E-06	3.97E-06	4.49E-06	4.67E-06
1024	2.07E-05	2.38E-05	3.68E-05	2.18E-05	2.24E-05	1.64E-05	1.57E-05	1.67E-05
4096	8.54E-05	6.33E-05	8.32E-05	5.88E-05	9.91E-05	7.61E-05	7.56E-05	7.74E-05
16384	0.0003705916	0.0002218886	0.0003823716	0.0002572188	0.0004969012	0.0003673475	0.0003623649	0.0003624216
65536	0.001771886	0.0006737102	0.001749699	0.001110547	0.002618958	0.002154958	0.002151526	0.002156827
262144	0.007443928	0.00276494	0.008602378	0.005268581	0.01401636	0.01289387	0.01264871	0.01303377
1048576	0.03319495	0.01229599	0.05718054	0.02160827	0.05874806	0.04914557	0.04898734	0.04913137
4194304	0.1833175	0.07079612	0.5025199	0.1725774	0.36594	0.3420575	0.3435072	0.3419395
16777216	1.0057555	0.3279023	3.350246	0.7354691	2.123593	2.04031	2.039333	2.049269
67108864	5.0543	1.39565571429	16.9946857143	3.27203	9.16368285714	8.56813571429	8.57171142857	8.57891714286
