# N	FFTW_R	MKL_R	GSL_R	FFTPACK_R	FFTW_C	MKL_C	GSL_C	FFTPACK_C
210	5.24E-06	2.45E-05	2.94E-05	4.98E-05	1.03E-05	4.15E-06	5.66E-06	4.05E-06
1260	2.75E-05	3.62E-05	5.69E-05	6.10E-05	3.08E-05	2.15E-05	2.20E-05	2.52E-05
4410	9.60E-05	8.49E-05	0.0002165753	0.0001457906	0.000102397	9.39E-05	8.81E-05	9.25E-05
15750	0.0003720209	0.0001938537	0.0005238286	0.0003421131	0.0004081909	0.0003807243	0.0003768804	0.0003736744
66150	0.001731277	0.0007636925	0.003298441	0.001956369	0.001998668	0.001854072	0.001822064	0.001835554
257250	0.007430275	0.002932913	0.01752689	0.009994143	0.01076739	0.01022291	0.010008747	0.01020405
1080450	0.03607174	0.01821271	0.09260372	0.06166984	0.05640464	0.05182975	0.05147077	0.05152553
4321800	0.1782823	0.09442561	0.5382634	0.4440349	0.3359635	0.3011651	0.3020549	0.3015878
15435000	0.7953475	0.4003786	2.171374	1.4029	1.094341	0.9535523	0.9538933	0.953229
64827000	3.841944	2.72683	11.80074	9.223572	4.771111	4.178523	4.175754	4.182371
