# N FFTW MKL GSL FFTPACK
#257      1.4041e-05 4.7253e-05 0.000161777 9.5082e-05
#1021     5.9214e-05 7.8125e-05 0.00175963 0.000914496 
#4093     0.00032163 0.000272918 0.0277732 0.0141522 
#16381    0.0010059 0.00107477 0.440371 0.217629
#65521    0.00886778 0.00436621 7.03974 3.48309
#262139   0.0459311 0.0182677 112.831 56.374
#1048573  0.253629 0.0840344 1804.24 896.628
#4194301  1.62775 0.49698
#16777213 8.02744 2.13522
#67108859 43.1106 13.2274

N	FFTW	MKL	GSL 	FFTPACK
257	1.41077E-05	4.31395E-05	0.0001520736	0.0001007807
1021	5.97802E-05	7.12563E-05	0.001810441	0.0009371034
4093	0.0003307502	0.0002683065	0.02793076	0.01433637
16381	0.0010247209	0.001104402	0.4471883	0.22006
65521	0.008786561	0.004237281	7.048045	3.489227
262139	0.04599846	0.01731302	112.7368	56.2577
1048573	0.253629	0.0840344	1804.24	896.628
4194301	1.62775	0.49698		
16777213	8.02744	2.13522		
67108859	43.1106	13.2274		

